Inputs,True Keywords,True Keywords in Abstract,Predictions
"Purpose - The purpose of this study is to introduce the concept of social welfare chain and address the challenges in decision making through the development of an optimal planning model for a nongovernmental organization (NGO). The distinctive properties of the social welfare chain and its relationship with the humanitarian relief chain in the context of supply chain management are also discussed. The paper presents a real decision problem and analyzes the managerial impacts of the proposed solution. Design/methodology/approach - The study of social welfare policy and the review of the humanitarian literature has necessitated the introduction of the social welfare chain. Based on its definition, an optimal facility location distribution model that consolidates the non-integrated style of logistics functions with a cost minimizing approach is developed. The General Algebraic Modeling System (GAMS) is used in order to optimize the coal distribution model of an NGO. Data is obtained from an NGO that aims to help vulnerable people through distributing coal and basic food such as rice and sugar. Findings - Besides laying the foundations of social welfare chain, an analytical tool for decision support systems of the NGOs can be considered as the major finding of the research. Despite the increased number of stages in the proposed network configuration, the optimal solution resulted in significant cost reduction and distribution efficiency due to the availability of temporary distribution center locations at no extra cost. Furthermore, this study brings out the advantages of using intermodal transportation in the distribution process of cost-sensitive networks. Practical implications - This paper provides a detailed analysis that contributes to the efficiency and the effectiveness of social welfare chains. Moreover, it represents a cooperation established between university and NGOs. Originality/value - The planning efforts of nongovernmental organizations targeting at the periodical aids to improve the social welfare level have received little attention in the literature. This paper is the first to propose the concept of Social Welfare Chain, at the same time addressing the distribution planning for the NGO.","['Social welfare', 'Supply chain management', 'Non-governmental organizations', 'Aid agencies', 'Optimization techniquesDISASTER RELIEF', 'SUPPLY CHAINS', 'HUMANITARIAN AID', 'LOGISTICS', 'MANAGEMENT', 'PREPAREDNESS', 'PERFORMANCE', 'CHALLENGES', 'OPERATIONS', 'DELIVERY']","['social welfare', 'social welfare', 'supply chain management', 'supply chain management', 'supply chain management', 'logistics', 'management', 'challenges']",supply chain management facility location support systems
"Firms are creating a digitized selling capability by developing Web sites designed to provide information and conduct transactions with customers, replacing many routine sales force activities. The authors use the motivation-ability framework to shape a conceptual model that examines the effects of the digitization of selling activity on two salesperson outcomes: salesperson effectiveness and salesperson job insecurity,,. Using data from salespeople in 168 firms, they assess the moderating effects of environmental-level motivational factors and firm-level ability factors on the impact of digitization of selling activity on salesperson effectiveness and job insecurity. The results reveal that digitization has the paradoxical affect of improving salesperson effectiveness and heightening job insecurity concerns, and also that managers can improve the technology-enabled multichannel capabilities of the firm by giving priority attention to human capital improvement, sales force control systems, and communication of the digitization strategy.","['digitization of selling capabilities', 'sales force performance', 'sales force controls', 'job insecurity', 'technology', 'enabled multichannel capabilityINFORMATION', 'TECHNOLOGY', 'FIRM', 'DETERMINANTS', 'ISOMORPHISM', 'ANTECEDENTS', 'KNOWLEDGE', 'ADOPTION', 'DEMAND', 'IMPACT']","['job insecurity', 'job insecurity', 'technology', 'technology', 'firm', 'impact']",salespeople
"This article discusses whether family ownership affects a firm's adoption of flexible manpower and organization practices. The results presented in the article show that the important divide is not between family-owned and nonfamily businesses: family businesses with a professional top manager differ from nonfamily firms only as regards one of seven flexibility measures. More important is whether the owners choose to be in charge of the day-to-day running of the firm themselves (owner-management) or leave it to a professional manager. In owner-managed family businesses, five out of seven practices for increased flexibility prevail less frequently than in both family businesses with a professional manager and nonfamily firms. Owner-managers are, then, more skeptical of adopting new management principles and personnel policies than are professional managers.","['nanOWNERSHIP', 'FIRMS', 'CONTRACTORS']",['firms'],management
"Autonomous vehicles (AVs) are expected to soon replace human drivers and promise substantial benefits to society. Yet, consumers remain skeptical about handing over control to an AV. Partly because there is uncertainty about the appropriate moral norms for such vehicles (e.g., should AVs protect the passenger or the pedestrian if harm is unavoidable?). Building on recent work on AV morality, the current research examined how people resolve the dilemma between protecting self versus a pedestrian, and what they expect an AV to do in a similar situation. Five studies revealed that participants considered harm to a pedestrian more permissible with an AV as compared to self as the decision agent in a regular car. This shift in moral judgments was driven by the attribution of responsibility to the AV and was observed for both severe and moderate harm, and when harm was real or imagined. However, the effect was attenuated when five pedestrians or a child could be harmed. These findings suggest that AVs can change prevailing moral norms and promote an increased self-interest among consumers. This has relevance for the design and policy issues related to AVs. It also highlights the moral implications of autonomous agents replacing human decision-makers.","['morality', 'autonomous vehicles', 'control', 'responsibility', 'harmJUDGMENT', 'ETHICS', 'CAUSAL', 'MIND']","['morality', 'autonomous vehicles', 'autonomous vehicles', 'control', 'responsibility']",autonomous vehicles moral norms morality self judgments attribution of responsibility
"Drawing on agency and configurations theories, this study examines how perceived level of control over the entrepreneur influences venture capitalist (VC) decision making. We model the direct effects of perceived control and the interactive effects of control with entrepreneurial prestige and opportunity attractiveness to determine how various combinations of factors influence VCs' willingness to invest. We test our conceptualizations using conjoint analyses of 552 VC investment decisions. The results show that perceived control is directly related to investment likelihood, but different configurations of control, entrepreneur prestige, and opportunity attractiveness result in different outcomes. Our findings support a configurational perspective of VC decision making.","['nanMORAL HAZARD', 'CONJOINT-ANALYSIS', 'AGENCY THEORY', 'OPPORTUNITY', 'IMPACT', 'FIRMS', 'ENTREPRENEURS', 'EQUIFINALITY', 'PERFORMANCE', 'STRATEGY']",['opportunity'],investment
"In this study, we explain how multinational enterprises (MNEs) respond to pressure to conform to their stakeholders' expectations for greater attention to corporate social responsibility (CSR). We invoke institutional theory to propose that mounting stakeholder pressure in an MNE's home country leads to the transfer of socially irresponsible practices from its headquarters to its overseas subsidiaries. This transfer is more pronounced when a subsidiary is apparently unconnected to an MNE, yet is controlled by an MNE's headquarters through the appointment of the subsidiary's board members; the institutional environment of the MNE's home country enforces compliance; and the degree of institutional enforcement, vigilance, and sanctions for noncompliance in the subsidiary's host country is low. Our hypotheses are empirically supported using panel data on 269 subsidiaries in 27 countries belonging to 110 MNEs from 22 countries. Results are robust to alternative measures, explanations, and sample.","['nanORGANIZATIONAL LEGITIMACY', 'CORPORATE-RESPONSIBILITY', 'INSTITUTIONAL THEORY', 'BUSINESS', 'PERFORMANCE', 'TIES', 'REEXAMINATION', 'INVESTMENT', 'STANDARDS', 'RESPONSES']","['institutional theory', 'institutional theory']",multinational enterprises institutional theory data
"Relational governance and control mechanisms are important means of managing interfirm relationships. Yet, the effectiveness of different governance mechanisms remains equivocal, especially in the international context. In this study, the authors investigate the value of relational and control governance across relationship length. Using a survey of 217 export ventures from China, they find that relational governance is not effective for short-term relationships but that it becomes effective in the long run. Output control improves export performance across short- and long-term relationships, whereas process control has its limits and weakens export performance for short-term relationships. In addition, the findings show that relational governance positively moderates the effects of output and process control on export performance for long-term relationships.","['relational governance', 'output control', 'process control', 'relationship length', 'export performanceINTERNATIONAL MARKETING CHANNELS', 'COMMON METHOD VARIANCE', 'EXCHANGE RELATIONSHIPS', 'DISTRIBUTOR RELATIONSHIPS', 'BUSINESS RELATIONSHIPS', 'SUPPLIER OPPORTUNISM', 'DARK SIDE', 'PERFORMANCE', 'CONTRACTS', 'TRUST']","['relational governance', 'relational governance', 'output control', 'output control', 'process control', 'process control', 'relationship length', 'relationship length', 'performance']",relational governance
"The central cultural contradiction of capitalism, argued Bell some 25 years ago, was the existence of rationalized, disciplined production alongside free and hedonistic consumption. This paper argues that this thesis, although overstated, has resonance within contemporary capitalism. The paper then considers the question of how this contradiction is managed when production and consumption meet directly within the service interaction. On the production-side rationalization is joined by customer-orientation, and on the consumption-side management promotes consumption of the enchanting myth of sovereignty. Here the customer is meant to experience a sense of being sovereign. At the same time the space is created for the customer to be, potentially, substantively directed and influenced to follow the requirements that flow from the rationalized elements of production. Key aspects of the service interaction, including the menu and its presentation, the display of empathy and aesthetic labour, and the use of naming within the service interaction, are analysed in terms of the promotion of the enchanting myth of sovereignty. Consumption, however, is a fragile process, and remains, to an important degree, 'unmanageable'. The analysis, therefore, also examines how the promotion of the enchanting myth of sovereignty systematically creates the conditions for the myth's negation.","['nanSERVICE WORK', 'MANAGEMENT', 'LIFE']",['management'],consumption
"The world of retailing has changed dramatically in the past decade. The advent of the online channel and new additional digital channels such as mobile channels and social media have changed retail business models, the execution of the retail mix, and shopper behavior. Whereas multi-channel was in vogue in the last decade in retailing, we now observe a move to so-called omni-channel retailing. Omni-channel retailing is taking a broader perspective on channels and how shoppers are influenced and move through channels in their search and buying process. We discuss this development conceptually and subsequently discuss existing research in this multi-channel retailing. We also introduce the articles in this special issue on multi-channel retailing and position these articles in the new omni-channel movement. We end with putting forward a research agenda to further guide future research in this area. (C) 2015 New York University. Published by Elsevier Inc. All rights reserved.","['Omni-channel', 'Retail-mix', 'Retail performance', 'OnlineCUSTOMER MANAGEMENT', 'INTERNET CHANNEL', 'ADOPTION', 'IMPACT', 'MEDIA']","['omni channel', 'omni channel', 'retail mix', 'retail mix', 'media']",online models behavior omni channel retailing search
"Using 456 supervisor-employee dyads from four organizations, this study examined how employees use one proactive behavior, feedback seeking, as a strategy to enhance their creative performance. As hypothesized, employees' cognitive style and perceived organizational support for creativity affected two patterns of feedback seeking: the propensity to inquire for feedback and the propensity to monitor the environment for indirect feedback. Feedback inquiry related to supervisor ratings of employee creative performance. These results highlight the importance of employees' self-regulatory behaviors in the creative process and show that feedback seeking is not only a strategy that facilitates individual adaptation, but also a resource for achieving creative outcomes.","['nanKIRTON ADAPTION-INNOVATION', 'LEADER-MEMBER EXCHANGE', 'PERCEIVED ORGANIZATIONAL SUPPORT', 'EMPLOYEE CREATIVITY', 'COGNITIVE-STYLE', 'TRANSFORMATIONAL LEADERSHIP', 'IMPRESSION MANAGEMENT', 'INFORMATION-SEEKING', 'GOAL ORIENTATION', 'STRATEGIES']","['perceived organizational support', 'perceived organizational support', 'perceived organizational support', 'cognitive style', 'cognitive style']",cognitive style
"Consumers can obtain skill-based products through a variety of acquisition modes, such as purchase or rental. Despite the rise of nonpurchase acquisition modes, surprisingly little research has explored the effects of differential acquisition modes on consumer behavior. This research begins to fill this gap in the literature by examining the effect of acquisition mode on the expected time necessary to master newly adopted skill-based products and the downstream consequences for consumers and marketers. Results of four experiments and a field study show that purchasing, versus renting, products requiring skill-based learning increases the amount of time consumers expect to be required to master them. Further, the differences in speed of product mastery, in turn, impact subsequent consumer behavior via differential levels of product use commitment.","['ownership', 'renting', 'skill-based products', 'social comparison', 'relative ability', 'product-use commitmentSOCIAL COMPARISONS', 'SELF-ESTEEM', 'PREFERENCES', 'EXPERIENCE', 'OWNERSHIP', 'CATEGORIZATION', 'DETERMINANTS', 'CONSUMPTION', 'COMMITMENT', 'MECHANISMS']","['renting', 'skill based products', 'skill based products', 'skill based products', 'commitment']",learning commitment
"The African continent is rapidly growing its global economic impact and becoming a more attractive sourcing context. However, very little is known about current purchasing practices, successes and challenges on this continent. The authors investigate the specific features that characterize supply management in Africa by conducting a systematic review of the literature on sourcing in and from Africa. Their aim is to help scholars direct their future research efforts. The authors take a thematic approach in their analysis of 57 articles, and identify key findings, research challenges and opportunities. They focus on four areas previously identified as distinguishing the sourcing context in Africa: African culture and ethics; the role of African countries and suppliers in global value chains; an increasing emphasis on sustainability; and the gradual development of professional procurement practices. It is found that research in the area of supply management in the African context is still scattered, with an evident need for more theoretically rich and methodologically rigorous inquiry. The authors propose a structured, theoretically grounded research agenda for each of the themes identified, and make general observations on potential future directions.","['nanSUPPLY CHAIN MANAGEMENT', 'BUSINESS ETHICS', 'SOUTH-AFRICA', 'PURCHASING STRATEGIES', 'FUTURE', 'FIRM', 'PERSPECTIVE', 'PERFORMANCE', 'PROCUREMENT', 'NETWORKS']","['future', 'procurement']",supply management
"This paper examines the interaction effects of institutional differences in the cognitive, normative, and regulatory domains on cross-border acquisition and alliance formation. Using a sample of 673 cross-border acquisitions and alliances conducted by multinational corporations (MNCs) from the manufacturing sector of six emerging economies (EEs) over the period 1995-2008, we find significant mimicking (cognitive domain) of local firms' choice of ownership modes by EE firms. We also find that regulatory distance (regulatory domain) moderates the mimicking of both foreign and local firms while normative distance does not have any moderating effect. These findings contribute to our understanding of how EE MNCs mimic ownership modes in foreign market entry and how the interaction of this mimetic tendency with other institutional pillars affects these decisions. Copyright (c) 2014 John Wiley & Sons, Ltd.","['institutions', 'entry mode', 'emerging markets', 'acquisition', 'allianceSOUTH-KOREAN FIRMS', 'JOINT-VENTURE', 'INTERORGANIZATIONAL IMITATION', 'MULTINATIONAL-CORPORATIONS', 'EMERGING ECONOMIES', 'BUSINESS GROUPS', 'JAPANESE FIRMS', 'CHOICE', 'LEGITIMACY', 'STRATEGY']","['acquisition', 'multinational corporations', 'multinational corporations', 'emerging economies', 'emerging economies', 'choice']",multinational corporations emerging economies firms ownership market entry
"Research shows that optimism can positively impact health, but when and why people feel optimistic when confronting health challenges is less clear. Findings from six studies show that the frames people adopt when thinking about health challenges influence their optimism about overcoming those challenges, and that their culture moderates this effect. In cultures where the independent self is highly accessible, individuals adopting an initiator frame (how will I act, regardless of the situations I encounter?) were more optimistic than those adopting a responder frame (how will I react to the situations I encounter?); the converse occurred for individuals from cultures where the interdependent self is highly accessible. Moreover, mediation and moderation evidence revealed that this interactive effect of culture and frame on optimism was driven by people's ability to easily imagine the recovery process. These effects held for distinct health challenges (cancer, diabetes, flood-related illness, traumatic injury) and across single-country and cross-country samples, and they impacted positive health outcomes and decisions ranging from anticipated energy, physical endurance, and willingness to take on more challenging physical therapy to intentions to get vaccinated, stick to a doctor-recommended diet, and undertake a physically strenuous vacation.","['optimism', 'health', 'culture', 'mental simulation', 'framingREGULATORY FIT', 'POSSIBLE SELVES', 'CULTURAL-DIFFERENCES', 'HOLISTIC THINKING', 'BRAND EVALUATION', 'SELF', 'IMAGERY', 'FLUENCY', 'PERFORMANCE', 'PERCEPTION']","['optimism', 'health', 'culture', 'self']",impact
"New websites and smartphone applications provide easy-click checking opportunities that can help consumers in many domains. However, this technology is not always used effectively. For example, many consumers skip checking Terms and Conditions links even when a quick evaluation of the terms can save them money, but they check their smartphone while driving even though this behavior is illegal and dangerous. Four laboratory experiments clarify the significance of one contributor to such contradictory deviations from effective checking. Studies 1, 2, and 3 show that, like basic decisions from experience, checking decisions reflect underweighting of rare events, which in turn is a sufficient condition for the coexistence of insufficient and too much checking. Insufficient checking emerges when most checking efforts impair performance even if checking is effective on average. Too much checking emerges when most checking clicks are rewarding even if checking is counterproductive on average. This pattern can be captured with a model that assumes reliance on small samples of past checking decision experiences. Study 4 shows that when the goal is to increase checking, interventions that increase the probability that checking leads to the best possible outcome can be far more effective than efforts to reduce the cost of checking.","['checking decisions', 'clicking decisions', 'decision from experience', 'decision-description gap', 'incentivesCONSUMER CHOICE', 'RISK', 'INFORMATION', 'SEARCH', 'COMPLEXITY', 'CERTAINTY', 'BEHAVIOR', 'STRATEGY', 'READ']","['checking decisions', 'checking decisions', 'behavior']",experience
