Inputs,True Keywords,True Keywords in Abstract,Predictions,Precision,Recall
"Contrast effects in consumers' judgments of products can stem from changes in how consumers mentally represent the stimuli or in how they anchor rating scales when mapping context-invariant mental representations onto those scales. We present a framework for distinguishing between these types of contrast effects on the basis of whether changes in mean ratings of multiattribute stimuli are accompanied by evidence of changes in their rank order. We also report two empirical studies. In study 1, mean overall ratings of a core set of car profiles showed contrast effects due to manipulations of the ranges of gas mileage and price in several sets of context profiles.  Diagnostic tests implied that these effects reflected changes in response-scale anchoring rather than in mental representations. In study 2, consumers high and low in knowledge of automobile prices showed equally large contrast effects on ratings of the expensiveness of a core set of real cars. Diagnostic tests showed that these reflected true changes in mental representation for low-knowledge consumers but only changes in scale anchoring for more knowledgeable ones. Thus, ostensibly similar context effects on simple ratings have different underlying causes and implications for behavior. The findings suggest alternative interpretations of contrast effects in past research on price perception, consumer satisfaction, and service quality.","['nan', 'SERVICE QUALITY', 'BRAND CHOICE', 'REFERENCE PRICES', 'MODEL', 'BEHAVIOR', 'CONTEXT', 'CONSEQUENCES', 'PERCEPTIONS', 'SATISFACTION', 'KNOWLEDGE']","['service quality', 'behavior', 'context', 'satisfaction', 'knowledge']","['rating scales', 'contrast', 'knowledge', 'quality']",0.25,0.2
"We draw on an in-depth longitudinal analysis of conflict over harvesting practices and decision authority in the British Columbia coastal forest industry to understand the role of institutional work in the transformation of organizational fields. We examine the work of actors to create, maintain, and disrupt the practices that are considered legitimate within a field (practice work) and the boundaries between sets of individuals and groups (boundary work), and the interplay of these two forms of institutional work in effecting change. We find that actors' boundary work and practice work operate in recursive configurations that underpin cycles of institutional innovation, conflict, stability, and restabilization. We also find that transitions between these cycles are triggered by combinations of three conditions: (1) the state of the boundaries, (2) the state of practices, and (3) the existence of actors with the capacity to undertake the boundary and practice work of a different institutional process. These findings contribute to untangling the paradox of embedded agency-how those subject to the institutions in a field can effect changes in them. We also contribute to an understanding of the processes and mechanisms that drive changes in the institutional lifecycle.(circle)","['nan', 'SOCIAL CONSTRUCTION', 'ENTREPRENEURSHIP', 'KNOWLEDGE', 'MOVEMENT', 'DYNAMICS', 'IDENTITY', 'AGENCY', 'POLICY', 'TECHNOLOGY', 'GOVERNANCE']",['agency'],"['institutional work', 'fields', 'innovation', 'paradox']",0.0,0.0
"In food packaging, light and pale colors are often used to highlight product healthiness. What has been largely overlooked is that this seemingly positive health cue may also convey another crucial piece of information. It is this paper's premise that light-colored packages evoke two opposing effects: They stimulate favorable health impressions (health effect) and they activate detrimental taste inferences (taste effect) which jointly guide the purchase decision. To contribute to a better understanding of when this package cue is an asset or a liability, this research elucidates the boundary conditions under which the opposing effects operate. The unfavorable color-induced taste effect should be particularly dominant when (i) consumers have a strong need to make heuristic taste inferences (i.e., when tasting is not possible) and (ii) when health is not the overarching goal (e.g., for less health-conscious consumers). A series of experiments manipulating actual food packages confirms that the package health cue can indeed trigger negative taste associations in the consumer's mind that backfire. Marketers therefore are advised to consider the identified contingencies carefully. (C) 2016 New York University. Published by Elsevier Inc. All rights reserved.","['Packaging', 'Color', 'Experiment', 'Food decision making', 'Health consciousness', 'Unhealthy=tasty intuition', 'TASTE PERCEPTION', 'PRODUCT', 'CONSUMPTION', 'UNHEALTHY', 'CONSCIOUSNESS', 'ANTECEDENTS', 'ATTRIBUTES', 'ELONGATION', 'INFERENCES', 'HEAVINESS']","['packaging', 'color', 'experiment', 'product', 'inferences']","['taste inferences', 'inferences']",0.5,0.2
"Despite substantial scholarly interest in the role of contracts in alliances, few studies have analyzed the mechanisms and conditions relevant to their influence on alliance performance. In this paper, we build on the information-processing view of the firm to study contracts as framing devices. We suggest that the effects of contracts depend on the types of provisions included and differentiate between the consequences of control and coordination provisions. Specifically, control provisions will increase the level of conflict between alliance partners, whereas coordination provisions will decrease such conflict. Conflict, in turn, reduces alliance performance, suggesting a mediated relationship between alliance contracts and performance. We also contribute to a better understanding of contextual influences on the consequences of contracts and investigate the interactions of each contractual function with both internal and external uncertainties. Key informant survey data on 171 alliances largely support our conceptual model.","['alliances', 'contracts', 'control and coordination', 'conflict', 'performance', 'framing', 'STRATEGIC ALLIANCES', 'INTERORGANIZATIONAL RELATIONSHIPS', 'ENVIRONMENTAL DYNAMISM', 'RELATIONAL GOVERNANCE', 'CONCEPTUAL-FRAMEWORK', 'FORMAL CONTRACTS', 'TRUST', 'COORDINATION', 'COOPERATION', 'MANAGEMENT']","['alliances', 'contracts', 'control and coordination', 'conflict', 'performance', 'framing', 'coordination']",[],0,0.0
"Research Summary: Research exploring investor reactions to sustainability has substantial empirical limitations, which we address with a large-scale longitudinal financial event study of the first global sustainability index, DJSI World. We examine investor reactions to firms from 27 countries over 17years that are added, deleted, or continue on the index. We find that once relevant controls and comparisons to observationally equivalent firms beyond the index are included, DJSI events have only limited significance and/or materiality. Nonetheless, investors' valuation of sustainability around the world has evolved over time, involving diminishing reactions to U.S. firms and increasing benefits, particularly of continuation on the index, over time. The study highlights the importance of careful analysis and longitudinal global samples in making inferences about the financial effects of social performance.Managerial Summary: The debate about how investors perceive corporate social responsibility (CSR) predates Milton Friedman's famous statement that the only social responsibility of business is to increase profits. Although extensive research has studied whether sustainability contributes to financial performance, we have yet to understand whether investors believe it pays off. This financial event study of reactions to the addition, continuation, and deletion from DJSI World, the first global sustainability index, shows that investors care little about DJSI announcements. Nonetheless, there is some evidence that global assessments of sustainability are converging and that investors may increasingly be valuing continuation on the DJSI, suggesting that firms may gain at least limited benefits from reliable sustainability activities.","['CSR', 'financial event study', 'firm value', 'investors', 'space', 'sustainability', 'time', 'CORPORATE SOCIAL-RESPONSIBILITY', 'FINANCIAL PERFORMANCE', 'RETURNS', 'IMPACT', 'PRICE', 'RISK', 'INSTITUTIONS', 'STOCKS', 'EVENT', 'SPACE']","['csr', 'financial event study', 'investors', 'sustainability', 'time', 'corporate social responsibility', 'financial performance', 'event']","['sustainability', 'financial event study', 'social performance', 'corporate social responsibility csr', 'financial performance']",0.6,0.375
"A longitudinal study of family business leaders nearing retirement age examined the effects of goal adjustment capacities (disengagement and reengagement) on retirement planning. Goal disengagement predicted taking concrete steps to prepare retirement, whereas goal reengagement was related to having positive retirement expectations. Family business leaders with high goal reengagement capacities who trusted their successor's abilities set an earlier retirement date than others. Leaders with poor goal disengagement capacities who did not trust their successor were unable to improve their retirement expectations over time. This study shows the importance of psychological variables in the retirement planning process of family business leaders.","['family business succession', 'retirement', 'goal disengagement', 'goal reengagement', 'trust', 'UNATTAINABLE GOALS', 'SUCCESSION PROCESS', 'FIRMS', 'DISENGAGEMENT', 'EXPLORATION', 'AGE']","['retirement', 'goal disengagement', 'goal reengagement', 'trust', 'disengagement', 'age']",['expectations'],0.0,0.0
"Mobile channel additions have been shown to increase consumer-brand relationships, brand satisfaction towards and overall purchasing from a retailer, but what is less apparent is whether shareholders are fully rewarded for retailers' mobile channel additions. Results from an event study on 115 announcements relating to mobile app additions of publicly traded U.S. retail firms between 2009 and 2016 indicate that the stock market responds generally positively to mobile app additions, but specifically to the two mobile app addition types. Stock market responses to search-related and purchase-related app additions are moderated by firm size, product category, and target customer age. For announcements of search-related apps, the market responds more positively to product retailers than to service retailers, and to small firms than large ones. For announcements of purchase-related apps, the market responds less positively to firms that target younger customers than firms who do not especially target them. (C) 2018 New York University. Published by Elsevier Inc. All rights reserved.","['Mobile commerce', 'Channel additions', 'Multichannel retailing', 'Event study', 'Marketing and firm value', 'SELECTION BIAS', 'KEY ISSUES', 'CHANNEL', 'INNOVATIONS', 'FRAMEWORK', 'COMMERCE', 'IMPACT']","['channel additions', 'event study', 'channel']","['brand', 'satisfaction', 'event', 'mobile app']",0.0,0.0
"We examined effects of a dissolved workplace romance and rater characteristics on judgments of responsibility and recommended personnel actions regarding a sexual harassment accusation. Type of romance and the romance motives of both accused and complainant were manipulated in vignettes describing a terminated liaison that resulted in a sexual. harassment accusation. Results based on a sample of 226 sheriffs department employees indicate that judgments differed depending on romance motives, and recommended actions differed depending on romance type and rater characteristics. Implications for management research, theory, and practice are discussed.","['nan', 'WORK', 'PERFORMANCE', 'COMPLAINT', 'RESPONSIBILITY', 'ORGANIZATIONS', 'PARTICIPANTS', 'PERCEPTIONS', 'ATTRIBUTION', 'BEHAVIORS', 'TOLERANCE']","['work', 'responsibility']",[],0,0.0
"The authors develop an econometric model of the relationship between a household's private-label (PL) share and its behavioral store loyalty. The model includes major drivers of these two behaviors and controls for simultaneity and nonlinearity in the relationship between them. The model is estimated with a unique data set that combines complete purchase records of a panel of Dutch households with demographic and psychographic data. The authors estimate the model for two retail chains in the Netherlands-the leading service chain with a well-differentiated high-share PL and the leading value chain with a lower-share PL. They find that PL share significantly affects all three measures of behavioral loyalty in the study: share of wallet, share of items purchased, and share of shopping trips. In addition, behavioral loyalty has a significant effect on PL share. For the service chain, the authors find that both effects are in the form of an inverted U. For the value chain, the effects are positive and nonlinear, but they do not exhibit nonmonotonicity, because PL share has not yet reached high enough levels. The managerial implications of this research are important. Retailers can reap the benefits of a virtuous cycle; greater PL share increases share of wallet, and greater share of wallet increases PL share. However, this virtuous cycle operates only to a point because heavy PL buyers tend to be loyal to price savings and PLs in general, not to the PL of any particular chain.","['private labels', 'store brands', 'store loyalty', 'share of wallet', 'simultaneity', 'nonlinear effects', 'BRANDS', 'CONSUMER', 'SYSTEMS', 'ENTRY', 'SHARE']","['store loyalty', 'share of wallet', 'simultaneity', 'share']",['behavioral store loyalty'],0.0,0.0
"Technology development in firms is frequently based on a combination of internal and external technological learning. Consequently, firms need to develop both technological capital (a patent portfolio) and alliance capital (a portfolio of technology alliances). This paper examines the relationship between technological capital, alliance capital, and their joint impact on the technological performance of firms, with an application to the application-specific integrated circuit industry. We find that positive marginal returns to alliance capital are decreasing at higher levels of alliance capital. Technological capital and alliance capital can either augment or reduce each others' influence on innovation performance depending on the stage of the technology life cycle in the industry. A reinforcing relationship related to absorptive capacity requirements and technological uncertainty is present in early stages, while technology leakage and market competition effects render the combination of high levels of technological and alliance capital counterproductive in later stages of the technology life cycle.","['nan', 'RESEARCH-AND-DEVELOPMENT', 'ABSORPTIVE-CAPACITY', 'FIRM PERFORMANCE', 'INTERORGANIZATIONAL COLLABORATION', 'DYNAMIC CAPABILITIES', 'STRATEGIC ALLIANCES', 'PORTFOLIO DIVERSITY', 'SOCIAL-STRUCTURE', 'MARKET-STRUCTURE', 'JOINT VENTURES']",['absorptive capacity'],"['innovation', 'absorptive capacity']",0.5,1.0
